attractionId,name,category,activityType,lat,lng,estimatedCostPerDay,description,location,imageUrl
16,Ancient Kingdom of Polonnaruwa Ruins,History,Sightseeing/Attractions,7.9403,81.0188,32.0,"Medieval capital of Sri Lanka featuring monumental rock-carved Buddha figures at Gal Vihara, royal palaces, and ancient hydraulic tanks.","Polonnaruwa, North Central Province",https://images.unsplash.com/photo-1586861635167-e5223aadc9fe?w=800
17,Anuradhapura Sacred City & Ruwanwelisaya Stupa,History,Sightseeing/Attractions,8.35,80.4,30.0,"First ancient capital spanning 1,300 years of royal dynasties, home to the Jaya Sri Maha Bodhi tree and towering white stupas.","Anuradhapura, North Central Province",https://images.unsplash.com/photo-1588598198321-9735fd52455b?w=800
18,Trincomalee Koneswaram Temple & Swami Rock,Culture,Sightseeing/Attractions,8.5869,81.2414,24.0,Historic Hindu temple perched atop a dramatic sea cliff overlooking one of the world's deepest natural harbors.,"Trincomalee, Eastern Province",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
19,Nuwara Eliya Tea Estate & Colonial Heritage,Food,Guided Tours,6.9497,80.7891,35.0,"'Little England' hill station surrounded by emerald Ceylon tea plantations, tea factory tasting tours, and cool alpine climate.","Nuwara Eliya, Central Province",https://images.unsplash.com/photo-1544816155-12df9643f363?w=800
20,Arugam Bay World Championship Surf Point,Adventure,Sightseeing/Attractions,6.8428,81.8286,42.0,"Global surfing mecca on the southeast coast offering legendary right-hand point breaks, laid-back beach cafes, and lagoon safaris.","Arugam Bay, Ampara District, Eastern Province",https://images.unsplash.com/photo-1502680390469-be75c86b636f?w=800
21,Knuckles Mountain Range Wilderness Trek,Nature,Guided Tours,7.4667,80.7833,50.0,"Rugged UNESCO World Heritage mountain peaks resembling clenched fists, featuring hidden waterfalls, endemic fauna, and cloud forests.","Matale / Kandy border, Central Province",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
22,Wilpattu National Park Leopard & Villu Safari,Wildlife,Guided Tours,8.4419,80.0219,85.0,Sri Lanka's largest and oldest national park characterized by natural sand-rimmed lakes ('villus') and undisturbed leopard territory.,North Western & North Central Province,https://images.unsplash.com/photo-1547970810-dc1eac8161a7?w=800
23,Unawatuna Coral Reef & Jungle Beach,Beaches,Sightseeing/Attractions,6.0104,80.2483,38.0,"Sheltered crescent bay with calm swimming waters, vibrant seaside seafood dining, and secluded Jungle Beach cove.","Unawatuna, Galle District, Southern Province",https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
24,Kaffir & Jaffna Heritage Crab Curry Tour,Food,Guided Tours,9.6615,80.0255,34.0,"Northern culinary immersion experiencing fiery Jaffna crab curry, Nallur Kovil atmosphere, Rio Ice Cream, and palmyrah delicacies.","Jaffna, Northern Province",https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800
25,Hiriketiya Horseshoe Bay & Surf Break,Beaches,Sightseeing/Attractions,5.962,80.6975,44.0,"Boho-chic sheltered jungle cove offering beginner to intermediate surf waves, artisanal coffee shops, and sea turtles.","Dikwella, Southern Province",https://images.unsplash.com/photo-1510414842594-a61c69b5ae57?w=800
26,Jaffna Fort & Nallur Kandaswamy Kovil,Culture,Sightseeing/Attractions,9.6647,80.0142,22.0,Massive Dutch fortress built with coral stone and the majestic golden Dravidian gopuram of Nallur Kovil.,"Jaffna, Northern Province",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
27,Minneriya National Park Elephant Gathering,Wildlife,Guided Tours,8.0333,80.8833,75.0,Witness the largest recurring wild Asian elephant gathering in the world (up to 300 elephants) around the Minneriya ancient reservoir.,"Habarana, North Central Province",https://images.unsplash.com/photo-1557050543-4d5f4e07ef46?w=800
28,Negombo Lagoon & Dutch Canal Kayaking,Adventure,Guided Tours,7.2083,79.8358,32.0,"Mangrove kayaking through historical Dutch canals, observing traditional catamaran fisherman and rich water bird life.","Negombo, Gampaha District, Western Province",https://images.unsplash.com/photo-1530866495561-507c9faab2ed?w=800
29,Lipton's Seat & Dambatenne Tea Factory Trek,Nature,Sightseeing/Attractions,6.7825,81.0153,26.0,"Panoramic mountain lookout where Sir Thomas Lipton surveyed his tea empire, offering views across seven provinces on clear days.","Haputale, Badulla District, Uva Province",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
30,Koggala Stilt Fishermen & Cinnamon Island Boat Tour,Culture,Guided Tours,5.9912,80.3275,30.0,Traditional art of cross-bar stilt fishing at sunset followed by an eco-boat ride across Koggala Lake to artisan cinnamon peelers.,"Koggala, Southern Province",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
31,Pidurangala Rock Sunrise Hike,Adventure,Sightseeing/Attractions,7.9658,80.7636,15.0,Exciting boulder scramble hike offering 360-degree panoramic sunrise vistas with an unobstructed direct view of Sigiriya fortress.,"Sigiriya, Central Province",https://images.unsplash.com/photo-1506744038136-46273834b3fb?w=800
32,Kandy Spice Garden & Traditional Cooking Class,Food,Guided Tours,7.275,80.6,35.0,"Hands-on culinary workshop preparing aromatic coconut milk curries, cardamoms, cinnamon, and clay-pot rice in a lush tropical garden.","Kandy outskirts, Central Province",https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800
